cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
0,138,neutron,neutral_charge_atomic,F1_direct_implicit,11.051237106323242,2.9260005950927734,-8.125236511230469,8.125236511230469,False
0,304,electron,negative_charge_atomic,F2_contextual_implicit,5.03150749206543,1.6801652908325195,-3.35134220123291,3.35134220123291,False
0,54,electron,negative_charge_atomic,F2_contextual_implicit,7.50752067565918,1.7719268798828125,-5.735593795776367,5.735593795776367,False
0,289,proton,positive_charge_atomic,F1_direct_implicit,6.3106584548950195,2.0542993545532227,-4.256359100341797,4.256359100341797,False
0,140,electron,negative_charge_atomic,F3_process_implicit,7.663926124572754,2.437824249267578,-5.226101875305176,5.226101875305176,False
0,31,electron,negative_charge_atomic,F1_direct_implicit,7.396416664123535,4.842970371246338,-2.5534462928771973,2.5534462928771973,False
0,425,neutron,nuclear_stability_provider,F2_contextual_implicit,3.098389148712158,2.2236886024475098,-0.8747005462646484,0.8747005462646484,False
0,165,photon,massless_em_mediator,F4_contrast_implicit,7.2028889656066895,2.925447463989258,-4.277441501617432,4.277441501617432,False
0,358,photon,em_quantum,F3_process_implicit,6.532500267028809,0.171722412109375,-6.360777854919434,6.360777854919434,False
1,428,electron,negative_charge_atomic,F3_process_implicit,7.757148742675781,0.8543510437011719,-6.902797698974609,6.902797698974609,False
1,402,photon,massless_em_mediator,F2_contextual_implicit,3.736097812652588,-1.3594856262207031,-5.095583438873291,5.095583438873291,True
1,286,photon,massless_em_mediator,F2_contextual_implicit,6.036512851715088,-0.46907520294189453,-6.505588054656982,6.505588054656982,True
1,187,neutron,neutral_charge_atomic,F1_direct_implicit,6.587135314941406,1.059678077697754,-5.527457237243652,5.527457237243652,False
1,170,neutron,neutral_charge_atomic,F2_contextual_implicit,9.182068824768066,-0.02879047393798828,-9.210859298706055,9.210859298706055,True
1,309,electron,negative_charge_atomic,F3_process_implicit,10.942475318908691,2.8302392959594727,-8.112236022949219,8.112236022949219,False
1,62,photon,em_quantum,F2_contextual_implicit,2.869659423828125,-2.4511899948120117,-5.320849418640137,5.320849418640137,True
1,134,neutron,neutral_charge_atomic,F2_contextual_implicit,9.455825805664062,3.6066527366638184,-5.849173069000244,5.849173069000244,False
1,64,proton,positive_charge_atomic,F3_process_implicit,3.37088942527771,-0.9194192886352539,-4.290308713912964,4.290308713912964,True
1,259,electron,negative_charge_atomic,F4_contrast_implicit,6.56578254699707,-0.5574169158935547,-7.123199462890625,7.123199462890625,True
1,67,photon,em_quantum,F4_contrast_implicit,6.686615943908691,-1.1642179489135742,-7.850833892822266,7.850833892822266,True
1,200,proton,positive_charge_atomic,F2_contextual_implicit,1.974212646484375,0.47304439544677734,-1.5011682510375977,1.5011682510375977,False
1,152,proton,positive_charge_atomic,F2_contextual_implicit,6.780911445617676,2.6751842498779297,-4.105727195739746,4.105727195739746,False
