cluster,prompt_idx,correct_answer,filter_property,nd_baseline,nd_steered,delta_nd,steering_coeff
0,1,electron,negative_charge_atomic,4.9143571853637695,1.740020751953125,-3.1743364334106445,5.0
0,153,neutron,neutral_charge_atomic,6.354726314544678,0.5219221115112305,-5.832804203033447,5.0
1,210,neutron,nuclear_stability_provider,3.095468044281006,-0.4968729019165039,-3.5923409461975098,5.0
1,239,neutron,neutral_charge_atomic,9.308439254760742,1.4762177467346191,-7.832221508026123,5.0
1,306,photon,massless_em_mediator,5.943663120269775,-1.4878597259521484,-7.431522846221924,5.0
1,32,electron,negative_charge_atomic,4.418544769287109,-0.7293758392333984,-5.147920608520508,5.0
1,227,photon,massless_em_mediator,1.6001920700073242,0.0652151107788086,-1.5349769592285156,5.0
1,139,electron,negative_charge_atomic,7.335737228393555,2.3952646255493164,-4.940472602844238,5.0
1,292,photon,massless_em_mediator,8.8585205078125,-1.7967329025268555,-10.655253410339355,5.0
1,140,electron,negative_charge_atomic,7.663926124572754,2.024045944213867,-5.639880180358887,5.0
1,364,proton,positive_charge_atomic,6.3950958251953125,4.313904762268066,-2.081191062927246,5.0
1,301,neutron,nuclear_stability_provider,8.724493980407715,-0.4592018127441406,-9.183695793151855,5.0
1,182,neutron,nuclear_stability_provider,11.893516540527344,-1.1840133666992188,-13.077529907226562,5.0
1,271,electron,negative_charge_atomic,6.692653179168701,1.3881759643554688,-5.304477214813232,5.0
1,49,photon,em_quantum,6.699645519256592,-2.555333137512207,-9.254978656768799,5.0
1,165,photon,massless_em_mediator,7.2028889656066895,1.10329008102417,-6.0995988845825195,5.0
1,209,neutron,nuclear_stability_provider,3.5195016860961914,-0.47865962982177734,-3.9981613159179688,5.0
1,366,photon,em_quantum,6.864108562469482,0.2174053192138672,-6.646703243255615,5.0
1,15,neutron,neutral_charge_atomic,4.923307418823242,-1.7770953178405762,-6.700402736663818,5.0
1,104,electron,negative_charge_atomic,4.782195568084717,1.7282648086547852,-3.0539307594299316,5.0
1,14,neutron,nuclear_stability_provider,10.304678916931152,-0.06439208984375,-10.369071006774902,5.0
1,7,electron,negative_charge_atomic,5.830833435058594,-0.20113754272460938,-6.031970977783203,5.0
