experiment_type,prompt_idx,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,80,0.35402143702787514,0.3125,0.31068194561094503,0.07596089793186561,0.0,0.09573367684147482,-4.623550433738559,-4.547589535806694,0.0,51
ablation_zero,81,0.6006941234364229,0.4375,0.42876832526224273,-0.15461569206387388,-0.3125,0.23403839449762034,-2.652872796152152,-2.807488488216026,0.0,51
ablation_zero,82,0.807714443580777,0.75,0.5201379686962417,-0.32377153284409466,-0.4375,0.19245824543065557,-4.178964839262121,-4.502736372106216,0.0,51
ablation_zero,83,0.38159966936298445,0.25,0.40144540189031375,-0.2049261167937634,-0.1875,0.1469689954392635,-2.574295156142291,-2.7792212729360544,0.0,51
ablation_zero,84,0.6543156679938821,0.53125,0.460721399020899,-0.4197784685621075,-0.4375,0.21370120151869135,3.061274808995864,2.6414963404337564,0.0,51
ablation_zero,85,0.9672896628286324,0.625,0.7489884861986129,-0.8643484863580442,-0.625,0.20937897850429507,4.621972701128791,3.7576242147707473,0.0,51
ablation_zero,86,1.2007550632252413,0.6875,1.164903834823207,0.8416864357742608,0.5625,0.426862963336833,2.8131109499463847,3.6547973857206455,0.0,51
ablation_zero,87,0.5072712898254395,0.34375,0.5184500865768089,0.122467368256812,0.09375,0.14613668703417737,3.4707322214163985,3.5931995896732105,0.0,51
ablation_zero,88,0.5562240937176872,0.46875,0.4408497588975227,-0.4739093219532686,-0.46875,0.1360000585646846,4.088570837881051,3.614661515927782,0.0,51
ablation_zero,89,0.5877126525430119,0.5,0.3706641858190308,-0.5644283388175216,-0.5,0.1841669499400266,3.1902744068818936,2.6258460680643716,0.0,51
ablation_zero,90,0.6659823398964078,0.40625,0.6243332623939873,-0.3988254771513097,-0.125,0.21105008887602866,3.1448082269406785,2.745982749789369,0.0,51
ablation_zero,91,0.5697923641578824,0.375,0.4689280077401409,-0.35288059945200007,-0.28125,0.19062035585339424,3.1265773118710984,2.7736967124190985,0.0196078431372549,51
ablation_zero,92,0.5225932738360237,0.3125,0.48080762684844663,-0.12362452114329618,0.0,0.3427072691389193,1.5628018098718979,1.4391772887286018,0.0,51
ablation_zero,93,0.7118575526218788,0.5625,0.4523429004409126,0.014995275759229473,-0.25,1.2056940090474229,0.6997551637537339,0.7147504395129634,0.17647058823529413,51
ablation_zero,94,0.6221494487687653,0.5,0.4905277853313657,-0.31034103094362747,-0.125,0.17010946708484867,3.6458026661592373,3.33546163521561,0.0,51
