layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,lang_profile,en_freq,fr_freq,lang_asym
20,41532,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
20,101236,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
21,45934,1.0,0.0625,0.96875,0.0625,0.0625,balanced,1.0,0.9375,0.0625
21,27974,1.0,0.33330000000000004,0.83335,0.3333,0.3333,balanced,1.0,0.6667,0.3333
21,105016,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
21,90229,0.875,0.5417000000000001,0.60415,0.5417,0.5417,balanced,0.875,0.3333,0.5417
21,145615,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
21,129759,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
22,78043,1.0,0.0625,0.96875,0.0625,0.0625,balanced,1.0,0.9375,0.0625
22,41906,1.0,0.1875,0.90625,0.1875,0.1875,balanced,1.0,0.8125,0.1875
22,121334,1.0,0.45830000000000004,0.77085,0.4583,0.4583,balanced,1.0,0.5417,0.4583
22,99330,0.7083,0.6041000000000001,0.40625,0.6042,0.6042,balanced,0.7083,0.1042,0.6042
22,108295,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
23,6889,1.0,0.35419999999999996,0.8229,0.3542,0.3542,balanced,1.0,0.6458,0.3542
23,70485,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
23,5853,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
23,40170,0.9792,0.5833999999999999,0.6875,0.5833,0.5833,balanced,0.9792,0.3958,0.5833
23,83865,0.8125,0.4167,0.60415,0.4167,0.4167,balanced,0.8125,0.3958,0.4167
23,64429,0.0208,0.9792,0.5104,0.9792,0.9792,fr_leaning,0.0208,1.0,0.9792
23,56267,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
23,53700,0.6042,0.10419999999999996,0.5521,0.1042,0.1042,balanced,0.6042,0.5,0.1042
24,30233,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
24,35447,1.0,0.33330000000000004,0.83335,0.3333,0.3333,balanced,1.0,0.6667,0.3333
24,60321,1.0,1.0,0.5,1.0,1.0,en_leaning,1.0,0.0,1.0
24,5768,0.7917,0.7917,0.39585,0.7917,0.7917,en_leaning,0.7917,0.0,0.7917
24,119196,0.8958,0.7083,0.54165,0.7083,0.7083,balanced,0.8958,0.1875,0.7083
24,76363,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
24,74929,0.0,0.9167,0.45835,0.9167,0.9167,fr_leaning,0.0,0.9167,0.9167
24,81698,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
24,58564,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
25,43384,1.0,0.33330000000000004,0.83335,0.3333,0.3333,balanced,1.0,0.6667,0.3333
25,41381,1.0,0.10419999999999996,0.9479,0.1042,0.1042,balanced,1.0,0.8958,0.1042
25,125339,0.9792,0.47919999999999996,0.7396,0.4792,0.4792,balanced,0.9792,0.5,0.4792
25,19816,1.0,1.0,0.5,1.0,1.0,en_leaning,1.0,0.0,1.0
25,90133,1.0,0.0,1.0,0.0,0.0,balanced,1.0,1.0,0.0
25,104408,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
25,142914,0.0,1.0,0.5,1.0,1.0,fr_leaning,0.0,1.0,1.0
