layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,feature_source,layer_has_graph_features
19,34170,0.11030273,0.20041847,0.3,0.4225756328113257,0.4225756328113257,graph,True
19,124778,0.28144532,0.457012,0.35,0.334090754977465,0.334090754977465,graph,True
19,16966,0.16193238,0.24840154,0.45,-0.2914118338874434,0.2914118338874434,graph,True
19,135640,1.9958985,0.8411867,1.0,0.2242972314292442,0.2242972314292442,graph,True
19,107296,3.8324218,0.9351124,1.0,0.1639779944186624,0.1639779944186624,graph,True
19,135988,0.6041748,0.38150257,0.95,0.1494103021629916,0.1494103021629916,graph,True
20,110274,0.54003906,0.5913937,0.6,-0.5337649776250741,0.5337649776250741,graph,True
20,55271,0.78691405,0.61798614,0.75,-0.5291532357574968,0.5291532357574968,graph,True
20,16630,0.43164062,0.953079,0.25,-0.3624349247649976,0.3624349247649976,graph,True
20,8575,0.17097168,0.30782646,0.3,0.3432067558074653,0.3432067558074653,graph,True
20,97102,0.70566404,0.4869951,0.9,0.2279254305949931,0.2279254305949931,graph,True
20,145235,1.8540528,1.0408714,0.95,0.2060944363760088,0.2060944363760088,graph,True
20,89742,4.0273438,0.8935926,1.0,-0.1413901041304667,0.1413901041304667,graph,True
21,45934,2.7603517,0.9649199,1.0,-0.2647480221847152,0.2647480221847152,graph,True
21,75521,0.20004883,0.39281395,0.35,-0.1346249575794194,0.1346249575794194,graph,True
22,55083,0.63359374,0.92056847,0.55,-0.2530303006467155,0.2530303006467155,graph,True
22,41906,6.6609373,0.9038911,1.0,-0.007147897140348,0.007147897140348,graph,True
23,147910,0.7510254,0.7903654,0.7,-0.359129092804821,0.359129092804821,graph,True
23,40170,2.5629883,1.530683,1.0,0.3332685584674287,0.3332685584674287,graph,True
23,83865,2.0399995,1.9487345,0.65,0.2216980001580255,0.2216980001580255,graph,True
23,21775,0.46445313,0.57259536,0.45,-0.1492293230194769,0.1492293230194769,graph,True
23,156970,0.19404297,0.45400652,0.2,-0.1001687767668316,0.1001687767668316,graph,True
24,133094,1.8390625,1.6507508,0.6,-0.420512289021443,0.420512289021443,graph,True
24,105042,0.6725586,0.7865794,0.5,-0.3806687270635902,0.3806687270635902,graph,True
24,106340,1.5324218,1.375684,0.6,-0.3286083565879149,0.3286083565879149,graph,True
24,34943,0.6442383,0.9743393,0.4,0.3059125493601999,0.3059125493601999,graph,True
24,49489,0.6412109,0.73993117,0.5,0.2731970379149538,0.2731970379149538,graph,True
24,35447,9.06875,1.8939048,1.0,-0.2723649804115924,0.2723649804115924,graph,True
24,20391,1.8601563,0.9766879,0.95,-0.2056850991810673,0.2056850991810673,graph,True
25,70077,2.1976562,1.6671903,0.75,-0.5630779839619847,0.5630779839619847,graph,True
25,51608,0.540625,0.6662037,0.6,-0.2903303689145621,0.2903303689145621,graph,True
25,27813,1.2003906,1.5795346,0.4,0.2796190013589817,0.2796190013589817,graph,True
25,121673,1.9578003,1.7945215,0.75,0.2138970465995663,0.2138970465995663,graph,True
25,60934,0.13964844,0.19372647,0.35,-0.1515078464046116,0.1515078464046116,graph,True
