experiment_type,layer,feature_id,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n
ablation_zero,23,40170,1.3009440104166667,1.0625,1.0071196103227473,-0.7635091145833334,-0.71875,1236980.1916756595,3.0618489583333335,2.29833984375,0.11458333333333333,96
ablation_zero,23,53700,1.3108723958333333,1.09375,1.0004174682843208,-0.8902994791666666,-0.828125,1236980.1516108024,3.0618489583333335,2.1715494791666665,0.11458333333333333,96
ablation_zero,23,67377,1.3751787195603054,1.1225519180297852,1.2598701190682273,-1.0783855766057968,-1.0089340209960938,0.8180369829286831,3.6280958354473114,2.5497102588415146,0.03125,96
ablation_zero,23,83865,1.3113606770833333,1.140625,1.0306473637690103,-0.90087890625,-0.796875,1236980.157435078,3.0618489583333335,2.1609700520833335,0.125,96
ablation_zero,23,153393,1.2763671875,1.0703125,0.9884986011511581,-0.8362630208333334,-0.796875,1236980.1480610424,3.0618489583333335,2.2255859375,0.11458333333333333,96
ablation_zero,24,5768,0.5511067708333334,0.40625,0.44820364665487245,-0.1201171875,-0.125,520833.6824784434,3.0618489583333335,2.9417317708333335,0.010416666666666666,96
ablation_zero,24,60321,0.6090494791666666,0.46875,0.5122471052803976,-0.14485677083333334,-0.125,520833.69418931735,3.0618489583333335,2.9169921875,0.010416666666666666,96
ablation_zero,24,79080,0.5862630208333334,0.421875,0.4703316472249181,-0.12532552083333334,-0.125,520833.68800538796,3.0618489583333335,2.9365234375,0.010416666666666666,96
ablation_zero,24,118673,0.58984375,0.40625,0.49782111595114376,-0.20377604166666666,-0.1875,520833.687902767,3.0618489583333335,2.8580729166666665,0.010416666666666666,96
ablation_zero,24,119196,0.6041666666666666,0.4375,0.5252205572632604,-0.23111979166666666,-0.1875,455729.507032158,3.0618489583333335,2.8307291666666665,0.010416666666666666,96
ablation_zero,25,15948,1.1300455729166667,0.921875,1.0241268514857629,-0.9900716145833334,-0.90625,455729.70151466836,3.0618489583333335,2.07177734375,0.08333333333333333,96
ablation_zero,25,19816,1.1388346354166667,0.921875,1.035941456270891,-0.9851888020833334,-0.875,455729.70295723836,3.0618489583333335,2.07666015625,0.08333333333333333,96
ablation_zero,25,41381,0.7711588541666666,0.625,0.68605552188215,-0.5725911458333334,-0.53125,65104.5549363867,3.0618489583333335,2.4892578125,0.041666666666666664,96
ablation_zero,25,43384,1.1355794270833333,0.90625,1.0031521423807503,-1.02490234375,-0.875,390625.53848919366,3.0618489583333335,2.0369466145833335,0.08333333333333333,96
