experiment_type,prompt_idx,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,49,0.6878290794513844,0.578125,0.4868402143683605,-0.5967598402941668,-0.578125,0.10191263369299104,6.74938549818816,6.152625657893993,0.0,54
ablation_zero,50,0.32379908914919253,0.1875,0.3621192842954275,0.21046445104810926,0.140625,0.04389553964946794,7.377383126152886,7.5878475772009955,0.0,54
ablation_zero,51,0.3792260311267994,0.3125,0.32955120147434985,-0.25389189190334743,-0.171875,0.04969672051009857,7.630116197797987,7.37622430589464,0.0,54
ablation_zero,52,0.44023850229051376,0.296875,0.3826249812047719,-0.3899622405016864,-0.25,0.07129376291608662,6.175772808216236,5.78581056771455,0.0,54
ablation_zero,53,0.3742305879239683,0.28125,0.3301789835820141,0.1392675064228199,0.0625,0.04714287706297462,7.938249517370154,8.077517023792973,0.0,54
ablation_zero,54,1.118500621230514,1.0405755043029785,0.8357867904155203,-0.5825698110792372,-0.4375,0.2653210363984717,4.423334492577447,3.8407646814982095,0.0,54
ablation_zero,55,0.8265562454859415,0.5625,0.7605228260740772,-0.5552005811973855,-0.34375,0.36098712405326616,2.392602072821723,1.8374014916243377,0.09259259259259259,54
ablation_zero,56,0.9135400807415998,0.90625,0.46717021318132745,-0.0759230896278664,-0.40625,0.24396945406098983,3.8517988876060203,3.775875797978154,0.0,54
ablation_zero,57,1.046414269341363,0.921875,0.7476880680758583,-0.3694112565782335,-0.166478157043457,0.4556903814262931,2.6558876744023077,2.286476417824074,0.07407407407407407,54
ablation_zero,58,1.1091851305078577,0.90625,0.98545404402688,-1.0396455305593986,-0.90625,0.27747541276944937,4.079515898669207,3.039870368109809,0.0,54
ablation_zero,59,0.844725454295123,0.675201416015625,0.5585242833729724,-0.36188508404625785,-0.375,0.3115730020866445,2.710483021206326,2.348597937160068,0.0,54
ablation_zero,60,0.9568345899935122,0.9045171737670898,0.7006553933592728,-0.33241129804540565,-0.3125,0.18312520979221963,5.226529465781318,4.894118167735912,0.0,54
ablation_zero,61,1.1095049116346571,1.0,0.7002700475959022,-0.564022664670591,-0.7824993133544922,0.15886619546719688,6.98804286674217,6.424020202071579,0.0,54
ablation_zero,62,0.26891406377156574,0.1875,0.29937185498196545,0.20636509082935475,0.109375,0.04476275798993834,6.016963879267375,6.22332897009673,0.0,54
ablation_zero,63,0.9463917855863218,1.0,0.6413600496230113,-0.17659142282274035,-0.171875,0.13177271191629344,7.182075668264319,7.005484245441578,0.0,54
ablation_zero,64,0.8099648510968244,0.6439146995544434,0.6248831060634918,-0.5972115905196579,-0.625,0.12249302135925551,6.615776777267456,6.018565186747798,0.0,54
ablation_zero,65,0.401955074734158,0.265625,0.3464886198655338,-0.22312715318467882,-0.15625,0.05139162056268868,7.823346411740339,7.60021925855566,0.0,54
ablation_zero,66,1.3936546157907557,1.09375,0.997479775091726,-0.30594533019595677,-0.625,3.086555065777798,0.23768002898604781,-0.06826530120990894,0.2222222222222222,54
ablation_zero,67,0.7659957099843908,0.40625,0.9418693011826845,-0.3553822967741225,0.0,0.3419765629249164,-1.334808137681749,-1.6901904344558716,0.037037037037037035,54
ablation_zero,68,0.5368635212933576,0.40625,0.42516139194681013,0.01768368261831778,-0.125,0.2543185040331547,1.334093694333677,1.3517773769519947,0.0,54
ablation_zero,69,0.7137405607435439,0.5,0.46968272905632275,-0.12960094875759548,-0.3125,0.33873577158628054,-1.1556218994988336,-1.285222848256429,0.0,54
ablation_zero,70,1.2423280124311094,0.8125,1.0976570886593506,-0.7240690964239614,-0.625,2.928947163988597,0.19031249152289498,-0.5337566049010666,0.5740740740740741,54
ablation_zero,71,0.7454491169364365,0.5,0.7675186874143083,0.12692453463872275,0.15625,3.6617552118868057,0.016896689379656757,0.1438212240183795,0.42592592592592593,54
ablation_zero,72,1.1724715409455475,0.84375,0.9428856112978954,-0.3614145208288122,0.375,0.5671254312949563,2.068180278495506,1.7067657576666937,0.2037037037037037,54
ablation_zero,73,0.5541603212003354,0.37866663932800293,0.4618298289376035,0.20693809897811324,0.21741986274719236,0.10948116000772387,5.060558787098637,5.26749688607675,0.0,54
ablation_zero,74,1.590399318271213,1.1452724933624268,1.3957037384684796,-0.7004901744701244,-0.359375,0.34343392644091214,4.630534843162254,3.9300446686921298,0.0,54
ablation_zero,75,0.4977295751924868,0.375,0.39912754578713655,0.10071970798351147,0.125,0.08294439180879319,6.0014462294401945,6.102165937423706,0.0,54
ablation_zero,76,1.122885686379892,0.875,0.9282810583482067,-0.9203393900835956,-0.65625,0.44873239463266057,2.502052695662887,1.5817133055792914,0.14814814814814814,54
ablation_zero,77,0.7992441919114854,0.806725025177002,0.7423804467554282,0.24764864533035844,0.140625,0.14703056832621356,5.431585762235853,5.679234407566212,0.0,54
ablation_zero,78,0.6588052467063621,0.46875,0.6013811129764284,-0.12137490731698496,-0.18738842010498047,0.17417493298029185,-3.8713144726223416,-3.9926893799393266,0.0,54
ablation_zero,79,0.5961796001151756,0.5195217132568359,0.3857880948205462,-0.20960552604110153,-0.28125,0.26781760965981305,-2.225839950420238,-2.43544547646134,0.0,54
ablation_zero,80,0.34448852362456145,0.3125,0.30419862663255115,0.01199295785692003,-0.0625,0.09705866895075073,-4.451438524104931,-4.43944556624801,0.0,54
ablation_zero,81,0.6170533939644143,0.4375,0.46846558803500515,-0.194605376985338,-0.3125,0.24859569196188078,-2.6057413242481373,-2.8003467012334755,0.0,54
ablation_zero,82,0.7883460521697998,0.71875,0.5152630869323546,-0.27913961587128816,-0.26917219161987305,0.18640239659609092,-4.252416981591119,-4.531556597462407,0.0,54
ablation_zero,83,0.35477366270842375,0.25,0.32581274390490617,-0.1904218108565719,-0.1875,0.13785463558406358,-2.7604885631137424,-2.950910373970314,0.0,54
ablation_zero,84,0.6545014116499159,0.546875,0.46256698205538593,-0.40610061751471627,-0.40625,0.2138821981603863,3.059607187906901,2.6535065703921847,0.0,54
ablation_zero,85,0.943880416728832,0.625,0.7589791504967767,-0.8143879395944101,-0.625,0.20441576121946123,4.617852210998535,3.803464271404125,0.0,54
ablation_zero,86,1.178996827867296,0.6875,1.138953340406924,0.7888467223555954,0.5,0.41904266823054265,2.813942520706742,3.6027892430623374,0.0,54
ablation_zero,87,0.48073343877439145,0.328125,0.5124895542210666,0.09143741925557454,0.05366396903991695,0.13848508896294306,3.4734302450109413,3.5648676642665156,0.0,54
ablation_zero,88,0.5554200808207194,0.46875,0.4355008851365545,-0.45494549362747755,-0.4375,0.13604160885812167,4.081521422774704,3.6265759291472257,0.0,54
ablation_zero,89,0.5788419246673584,0.46875,0.36978636996977243,-0.5507068369123671,-0.46875,0.1812338472964883,3.1940506829155817,2.6433438460032144,0.0,54
ablation_zero,90,0.6862175199720595,0.375,0.6906055410649107,-0.42615781006989656,-0.0976600646972656,0.21234547793449057,3.214304146943269,2.7881463368733725,0.0,54
