experiment_type,layer,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
patching,14,0.6809895833333333,0.6809895833333333,0.006444983682689952,-0.111328125,-0.111328125,585938.0905896768,0.5260416666666666,0.41471354166666663,0.0625,2
patching,15,0.3821614583333333,0.3821614583333333,,0.11002604166666667,0.11002604166666667,911458.6661569966,0.5260416666666666,0.6360677083333334,0.041666666666666664,1
patching,16,0.4270833333333333,0.4270833333333333,,0.07161458333333333,0.07161458333333333,130208.71663538109,0.5260416666666666,0.59765625,0.041666666666666664,1
patching,17,0.7203776041666666,0.7203776041666666,,0.3948567708333333,0.3948567708333333,1953125.659170324,0.5260416666666666,0.9208984375,0.041666666666666664,1
patching,18,0.5462239583333334,0.5462239583333334,,-0.134765625,-0.134765625,781250.435763387,0.5260416666666666,0.3912760416666667,0.0625,1
patching,19,0.6248697916666667,0.623046875,0.006500643706440989,0.128515625,0.13216145833333334,1718750.5471556247,0.5260416666666666,0.6545572916666667,0.04583333333333333,5
patching,20,0.6805826822916666,0.6749674479166667,0.01686414258333784,-0.593505859375,-0.5856119791666666,1513672.4103701548,0.5260416666666666,-0.06746419270833333,0.11458333333333333,8
patching,21,0.5891927083333333,0.5891927083333333,0.0009207119546700491,-0.265625,-0.265625,716146.3133409484,0.5260416666666666,0.26041666666666663,0.041666666666666664,2
patching,22,1.0135633680555556,1.0335286458333335,0.0707972016775509,-0.7140842013888888,-0.732421875,781250.7692460822,0.5260416666666666,-0.18804253472222224,0.1388888888888889,6
patching,23,1.56875,1.6044921875,0.11431800614823019,-1.1041666666666665,-1.1389973958333333,2304689.246703314,0.5260416666666666,-0.578125,0.23541666666666666,10
patching,24,0.5615017361111111,0.5631510416666666,0.029938682043269927,-0.09952256944444443,-0.119140625,980903.3750086451,0.5260416666666666,0.42651909722222225,0.04305555555555555,15
patching,25,0.9967854817708334,0.9908854166666667,0.03863515427000546,-0.8260498046875,-0.818359375,968425.2877327447,0.5260416666666666,-0.3000081380208333,0.11848958333333334,16
