experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,9,16,"[126692, 136591]",3.375,3.4375,0.0625,0.0625,0.018518518463648836,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,10,16,"[126692, 136591]",6.09375,6.6875,0.59375,0.59375,0.09743589727600263,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,11,16,"[126692, 136591]",6.75,7.0,0.25,0.25,0.03703703698216735,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,12,16,"[126692, 136591]",7.40625,6.90625,-0.5,0.5,0.06751054843205327,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,13,16,"[126692, 136591]",9.25,9.5,0.25,0.25,0.027027026997808616,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,14,16,"[126692, 136591]",10.375,9.125,-1.25,1.25,0.12048192759471621,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,15,16,"[126692, 136591]",4.75,2.625,-2.125,2.125,0.44736842011080336,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,16,16,"[126692, 136591]",3.75,1.75,-2.0,2.0,0.5333333319111111,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,17,16,"[126692, 136591]",2.0,2.625,0.625,0.625,0.31249999843750004,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,18,16,"[126692, 136591]",8.5625,7.90625,-0.65625,0.65625,0.07664233567691406,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
