feature_id,hac_ward_abs_k2,hac_ward_abs_k3,hac_ward_abs_k4,hac_ward_abs_k5,hac_ward_abs_k6,hac_complete_abs_k2,hac_complete_abs_k3,hac_complete_abs_k4,hac_complete_abs_k5,hac_complete_abs_k6,hac_complete_signed_k2,hac_complete_signed_k3,hac_complete_signed_k4,hac_complete_signed_k5,hac_complete_signed_k6,hac_average_abs_k2,hac_average_abs_k3,hac_average_abs_k4,hac_average_abs_k5,hac_average_abs_k6,hac_average_signed_k2,hac_average_signed_k3,hac_average_signed_k4,hac_average_signed_k5,hac_average_signed_k6,spectral_abs_k2,spectral_abs_k3,spectral_abs_k4,spectral_abs_k5,spectral_abs_k6,spectral_signed_k2,spectral_signed_k3,spectral_signed_k4,spectral_signed_k5,spectral_signed_k6,kmeans_abs_k2,kmeans_abs_k3,kmeans_abs_k4,kmeans_abs_k5,kmeans_abs_k6,kmeans_group_k2,kmeans_group_k3,kmeans_group_k4,kmeans_group_k5,kmeans_group_k6,gmm_group_k2,gmm_group_k3,gmm_group_k4,gmm_group_k5,nmf_k2,nmf_k3,nmf_k4,nmf_k5,nmf_k6,louvain_abs_t30,louvain_abs_t50,bipartite_louvain,coimp_louvain,signed_laplacian_k2,signed_laplacian_k3,signed_laplacian_k4,signed_laplacian_k5,signed_laplacian_k6,residual_kmeans_k2,residual_kmeans_k3,residual_kmeans_k4,residual_kmeans_k5,residual_kmeans_k6
L15_F76750,0,0,1,2,3,1,2,3,4,5,1,1,1,2,3,1,1,1,2,2,0,0,0,0,0,1,1,0,2,5,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,1,1,0,5,0,0,1,0,0,0,0,0,4,0
L16_F35329,0,0,1,1,1,1,2,3,4,5,1,2,3,4,5,1,1,1,2,2,0,0,1,1,2,1,1,0,2,0,1,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,5,1,1,0,5,0,2,3,0,2,1,1,1,0,3
L17_F119141,0,0,1,1,1,1,2,3,4,5,1,1,1,2,3,1,1,1,2,2,0,0,0,0,0,1,1,0,2,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,5,1,1,0,5,0,0,1,0,0,0,2,2,1,5
L18_F71234,0,0,1,1,1,1,2,3,4,5,1,1,1,2,3,1,1,1,2,2,0,0,0,0,0,1,1,0,2,5,1,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,4,5,1,1,0,5,0,0,1,0,0,0,0,0,4,0
L19_F39488,1,1,2,3,4,0,0,0,0,0,0,0,0,1,2,1,2,3,4,4,1,2,3,3,4,0,0,2,4,1,0,0,3,4,5,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,2,3,2,4,0,0,0,6,1,1,0,1,3,1,1,1,3,5
L19_F41536,1,1,2,3,4,0,0,0,0,0,0,0,0,1,2,1,2,3,4,4,1,2,3,3,4,0,0,2,4,1,0,0,3,4,5,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,6,1,1,0,1,3,1,1,1,3,5
L19_F54110,1,1,2,3,4,0,0,0,0,0,0,0,0,1,2,1,2,3,4,4,1,2,3,3,4,0,0,2,4,1,0,0,3,4,5,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,6,1,1,0,1,3,1,1,1,3,5
L19_F59757,1,1,2,3,4,0,0,0,0,0,0,0,0,1,2,1,2,3,4,4,1,2,3,3,4,0,0,2,4,1,0,0,3,4,5,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,6,1,1,0,1,3,1,1,1,3,5
L20_F101109,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,4,1,1,0,1,5,1,1,1,0,1
L20_F111138,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,4,1,1,0,1,5,1,1,1,0,1
L20_F111313,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,4,1,1,0,1,5,1,1,1,0,1
L20_F117855,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,4,1,1,0,1,5,1,1,1,0,1
L20_F24337,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0,4,1,1,0,1,5,1,1,1,0,1
L21_F122057,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L21_F144598,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L21_F15419,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L21_F20252,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,5,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L21_F27974,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L21_F31790,1,2,3,4,5,0,0,1,2,2,0,0,0,1,1,1,2,3,4,5,1,2,3,4,5,0,2,3,1,2,0,0,2,3,4,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,7,1,1,0,1,5,1,1,3,2,2
L22_F118125,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L22_F139040,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L22_F27223,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L22_F39641,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L22_F41906,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L22_F63642,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,1,5,1,1,1,0,1
L23_F118675,1,2,3,4,5,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,2,3,1,4,0,1,0,3,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,1,1,0,1,5,1,1,1,0,1
L23_F1264,1,2,3,4,5,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,2,3,1,4,0,1,0,3,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,1,1,0,1,5,1,1,1,0,1
L23_F157706,1,2,3,4,5,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,2,3,1,4,0,1,0,3,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,1,1,0,1,5,1,1,1,0,1
L23_F29730,1,2,3,4,5,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,2,3,1,4,0,1,0,3,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,1,1,0,1,5,1,1,1,0,1
L23_F71325,1,2,3,4,5,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,2,3,1,4,0,1,0,3,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,1,1,0,1,5,1,1,1,0,1
L24_F104198,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,0,1,5,1,1,1,0,1
L24_F143388,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,2,1,1,0,1,5,1,1,1,0,1
L24_F153576,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,0,1,5,1,1,1,0,1
L24_F163125,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,0,1,5,1,1,1,0,1
L24_F38741,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,1,0,1,5,1,1,1,0,1
L25_F149731,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,3,1,1,0,1,5,1,1,1,0,1
L25_F15948,0,0,1,1,1,0,0,1,2,2,0,0,0,0,0,1,2,3,4,5,1,2,3,4,5,0,0,1,0,0,0,1,3,0,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,3,1,1,0,1,5,1,1,1,0,1
