prompt_idx,feature_id,layer,zone,contribution_to_correct,effect_size,data_source
11,L22_F78043,22,mid,2.078125,-2.078125,ablation_zero
11,L23_F40170,23,late,0.34375,-0.34375,ablation_zero
11,L23_F6889,23,late,0.34375,-0.34375,ablation_zero
11,L24_F35447,24,late,0.640625,-0.640625,ablation_zero
11,L25_F43384,25,late,1.828125,-1.828125,ablation_zero
11,L25_F54011,25,late,1.696207046508789,-1.696207046508789,ablation_zero
11,L25_F90133,25,late,1.828125,-1.828125,ablation_zero
12,L13_F63127,13,early,,,none
12,L14_F129011,14,early,,,none
12,L15_F127839,15,early,-0.65625,0.65625,ablation_zero
12,L16_F45664,16,early,-0.7226738929748535,0.7226738929748535,ablation_zero
12,L16_F76227,16,early,,,none
12,L17_F111317,17,mid,-0.4971933364868164,0.4971933364868164,ablation_zero
12,L17_F51924,17,mid,,,none
12,L18_F149556,18,mid,-0.625,0.625,ablation_zero
12,L18_F27853,18,mid,,,none
12,L19_F29102,19,mid,,,none
12,L20_F36426,20,mid,,,none
12,L21_F54492,21,mid,,,none
12,L22_F32734,22,mid,,,none
12,L22_F78043,22,mid,0.5625,-0.5625,ablation_zero
12,L23_F40170,23,late,1.34375,-1.34375,ablation_zero
12,L23_F6889,23,late,2.15625,-2.15625,ablation_zero
12,L24_F35447,24,late,0.21875,-0.21875,ablation_zero
12,L25_F43384,25,late,1.78125,-1.78125,ablation_zero
12,L25_F54011,25,late,2.1053061485290527,-2.1053061485290527,ablation_zero
12,L25_F90133,25,late,2.0,-2.0,ablation_zero
13,L13_F63127,13,early,,,none
13,L14_F129011,14,early,,,none
13,L15_F127839,15,early,-0.5625,0.5625,ablation_zero
13,L16_F45664,16,early,0.2771329879760742,-0.2771329879760742,ablation_zero
13,L16_F76227,16,early,,,none
13,L17_F111317,17,mid,-0.829439640045166,0.829439640045166,ablation_zero
13,L17_F51924,17,mid,,,none
13,L18_F149556,18,mid,-0.09375,0.09375,ablation_zero
13,L18_F27853,18,mid,,,none
13,L19_F29102,19,mid,,,none
13,L20_F36426,20,mid,,,none
13,L21_F54492,21,mid,,,none
13,L22_F32734,22,mid,,,none
13,L22_F78043,22,mid,1.40625,-1.40625,ablation_zero
13,L23_F40170,23,late,3.84375,-3.84375,ablation_zero
13,L23_F6889,23,late,3.5625,-3.5625,ablation_zero
13,L24_F35447,24,late,1.46875,-1.46875,ablation_zero
13,L25_F43384,25,late,3.15625,-3.15625,ablation_zero
13,L25_F54011,25,late,3.2583885192871094,-3.2583885192871094,ablation_zero
13,L25_F90133,25,late,3.3125,-3.3125,ablation_zero
14,L13_F63127,13,early,,,none
14,L14_F129011,14,early,,,none
14,L15_F127839,15,early,0.84375,-0.84375,ablation_zero
14,L16_F45664,16,early,-0.2391810417175293,0.2391810417175293,ablation_zero
14,L16_F76227,16,early,,,none
14,L17_F111317,17,mid,0.1021366119384765,-0.1021366119384765,ablation_zero
14,L17_F51924,17,mid,,,none
14,L18_F149556,18,mid,0.6875,-0.6875,ablation_zero
14,L18_F27853,18,mid,,,none
14,L19_F29102,19,mid,,,none
14,L20_F36426,20,mid,,,none
14,L21_F54492,21,mid,,,none
14,L22_F32734,22,mid,,,none
14,L22_F78043,22,mid,-0.625,0.625,ablation_zero
14,L23_F40170,23,late,-0.6875,0.6875,ablation_zero
14,L23_F6889,23,late,-0.03125,0.03125,ablation_zero
14,L24_F35447,24,late,-0.40625,0.40625,ablation_zero
14,L25_F43384,25,late,-0.5625,0.5625,ablation_zero
14,L25_F54011,25,late,-0.1607546806335449,0.1607546806335449,ablation_zero
14,L25_F90133,25,late,-0.71875,0.71875,ablation_zero
15,L13_F63127,13,early,,,none
15,L14_F129011,14,early,,,none
15,L15_F127839,15,early,-0.125,0.125,ablation_zero
15,L16_F45664,16,early,-0.3897576332092285,0.3897576332092285,ablation_zero
15,L16_F76227,16,early,,,none
15,L17_F111317,17,mid,-0.6529903411865234,0.6529903411865234,ablation_zero
15,L17_F51924,17,mid,,,none
15,L18_F149556,18,mid,-0.125,0.125,ablation_zero
15,L18_F27853,18,mid,,,none
15,L19_F29102,19,mid,,,none
15,L20_F36426,20,mid,,,none
15,L21_F54492,21,mid,,,none
15,L22_F32734,22,mid,,,none
15,L22_F78043,22,mid,1.21875,-1.21875,ablation_zero
