experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
patching,20,99485,14,14.0,0.39955357142857145,0.375,0.32201349975540666,0.078125,0.015625,0.12994548326339422,3.779017857142857,3.857142857142857,0.0,0
patching,20,146302,14,14.0,0.39955357142857145,0.375,0.32201349975540666,0.078125,0.015625,0.12994548326339422,3.779017857142857,3.857142857142857,0.0,0
patching,21,98305,14,14.0,0.30357142857142855,0.1875,0.26471948920892274,0.13392857142857142,0.109375,0.11181155909777092,3.779017857142857,3.9129464285714284,0.0,0
patching,21,116961,14,14.0,0.30357142857142855,0.1875,0.26471948920892274,0.13392857142857142,0.109375,0.11181155909777092,3.779017857142857,3.9129464285714284,0.0,0
patching,21,121105,14,14.0,0.30357142857142855,0.1875,0.26471948920892274,0.13392857142857142,0.109375,0.11181155909777092,3.779017857142857,3.9129464285714284,0.0,0
patching,22,57015,14,14.0,1.0111607142857142,0.84375,1.0633203240826081,-0.49330357142857145,-0.21875,0.3938757561529213,3.779017857142857,3.2857142857142856,0.07142857142857142,1
patching,22,63036,11,11.0,1.1164772727272727,0.9375,1.1664324372555053,-0.6505681818181818,-0.375,0.26293380616997186,4.014204545454546,3.3636363636363638,0.0,0
patching,22,66669,11,11.0,1.1789772727272727,1.0625,1.1401832114541146,-0.7357954545454546,-0.75,0.4562206595448796,4.03125,3.2954545454545454,0.09090909090909091,1
patching,22,74868,9,9.0,0.6493055555555556,0.6875,0.4743873973639875,-0.14930555555555555,-0.0625,0.4084163708750908,3.579861111111111,3.4305555555555554,0.1111111111111111,1
patching,22,80156,12,12.0,1.0703125,0.90625,1.1380341060005428,-0.4661458333333333,-0.03125,0.4391390525290331,3.5572916666666665,3.0911458333333335,0.08333333333333333,1
patching,22,120804,13,13.0,0.9759615384615384,0.75,1.0982166123147576,-0.4182692307692308,-0.0625,0.4000713271904622,3.7091346153846154,3.2908653846153846,0.07692307692307693,1
patching,23,91721,14,14.0,0.359375,0.21875,0.326086847651877,0.171875,0.03125,0.167617484932683,3.779017857142857,3.950892857142857,0.0,0
patching,23,119593,14,14.0,0.359375,0.21875,0.326086847651877,0.171875,0.03125,0.167617484932683,3.779017857142857,3.950892857142857,0.0,0
patching,23,130333,14,14.0,0.359375,0.21875,0.326086847651877,0.171875,0.03125,0.167617484932683,3.779017857142857,3.950892857142857,0.0,0
patching,24,30233,14,14.0,2.3348214285714284,1.8125,2.0216462527921575,-1.8258928571428572,-1.40625,1.035092367990363,3.779017857142857,1.953125,0.2857142857142857,4
patching,24,73324,12,12.0,2.3645833333333335,1.40625,2.195210976434977,-1.7708333333333333,-1.125,0.6268385490696239,4.044270833333333,2.2734375,0.25,3
patching,24,121020,8,8.0,3.078125,2.65625,2.3973920912703695,-2.1875,-2.15625,1.5137338142709498,3.7890625,1.6015625,0.5,4
patching,24,122537,13,13.0,2.4711538461538463,2.0,2.0361104324444126,-2.0096153846153846,-1.625,1.1046814130429878,3.737980769230769,1.7283653846153846,0.3076923076923077,4
patching,24,149159,13,13.0,2.2836538461538463,1.625,2.0947394093559644,-2.1971153846153846,-1.625,1.0707588139634572,3.6658653846153846,1.46875,0.3076923076923077,4
patching,24,161672,10,10.0,1.59375,1.40625,0.8617549116644347,-0.88125,-1.125,1.005251655337345,3.653125,2.771875,0.1,1
patching,25,37637,14,14.0,1.4754464285714286,0.71875,1.9853042786031843,-1.1183035714285714,-0.53125,0.43322263347792994,3.779017857142857,2.6607142857142856,0.21428571428571427,3
patching,25,133941,14,14.0,1.4754464285714286,0.71875,1.9853042786031843,-1.1183035714285714,-0.53125,0.43322263347792994,3.779017857142857,2.6607142857142856,0.21428571428571427,3
patching,25,143309,14,14.0,1.4754464285714286,0.71875,1.9853042786031843,-1.1183035714285714,-0.53125,0.43322263347792994,3.779017857142857,2.6607142857142856,0.21428571428571427,3
steering,10,126287,20,20.0,0.4296875,0.28125,0.46082946436861344,-0.2296875,-0.15625,0.12907760269991106,3.71875,3.4890625,0.0,0
steering,10,154631,20,20.0,0.4296875,0.28125,0.46082946436861344,-0.2296875,-0.15625,0.12907760269991106,3.71875,3.4890625,0.0,0
steering,10,159221,20,20.0,0.4296875,0.28125,0.46082946436861344,-0.2296875,-0.15625,0.12907760269991106,3.71875,3.4890625,0.0,0
steering,11,1564,20,20.0,0.3671875,0.25,0.4607179171441367,0.0203125,-0.1875,0.1415344194104216,3.71875,3.7390625,0.0,0
steering,11,2848,20,20.0,0.3671875,0.25,0.4607179171441367,0.0203125,-0.1875,0.1415344194104216,3.71875,3.7390625,0.0,0
steering,12,1302,20,20.0,0.5171875,0.375,0.4925926434037828,0.2640625,0.15625,0.16759082555736582,3.71875,3.9828125,0.0,0
steering,12,43835,20,20.0,0.5171875,0.375,0.4925926434037828,0.2640625,0.15625,0.16759082555736582,3.71875,3.9828125,0.0,0
steering,12,146578,20,20.0,0.5171875,0.375,0.4925926434037828,0.2640625,0.15625,0.16759082555736582,3.71875,3.9828125,0.0,0
steering,13,3203,20,20.0,0.309375,0.3125,0.24812205851365296,-0.084375,-0.09375,0.15956621009323724,3.71875,3.634375,0.05,1
steering,13,12706,20,20.0,0.309375,0.3125,0.24812205851365296,-0.084375,-0.09375,0.15956621009323724,3.71875,3.634375,0.05,1
steering,13,50574,20,20.0,0.309375,0.3125,0.24812205851365296,-0.084375,-0.09375,0.15956621009323724,3.71875,3.634375,0.05,1
steering,14,34380,20,20.0,0.25625,0.21875,0.16018081887929686,-0.00625,-0.0625,0.08854432899347504,3.71875,3.7125,0.0,0
