experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
patching,10,27,27.0,0.7395833333333334,0.53125,0.6832803196289995,0.6770833333333334,0.53125,231482.22607925485,0.11226851851851852,0.7893518518518519,0.037037037037037035,1,False,True,graph,True
patching,11,27,27.0,0.3298611111111111,0.3125,0.26886923413455577,-0.14699074074074073,-0.125,1157407.6347846803,0.11226851851851852,-0.034722222222222224,0.0,0,False,True,graph,True
patching,12,27,27.0,0.46296296296296297,0.3125,0.3913730373246595,-0.35185185185185186,-0.25,925926.2446990086,0.11226851851851852,-0.23958333333333334,0.037037037037037035,1,False,True,graph,True
patching,13,27,27.0,0.41087962962962965,0.40625,0.2460175139400489,0.23958333333333334,0.34375,2083333.630858159,0.11226851851851852,0.35185185185185186,0.0,0,False,True,graph,True
patching,14,27,27.0,0.4201388888888889,0.375,0.3051212190807669,-0.09143518518518519,-0.0625,1157407.7929449552,0.11226851851851852,0.020833333333333332,0.037037037037037035,1,False,True,graph,True
patching,15,27,27.0,0.375,0.3125,0.3059407779544672,0.12962962962962962,0.03125,1157407.686538991,0.11226851851851852,0.24189814814814814,0.07407407407407407,2,False,True,graph,True
patching,16,27,27.0,0.42939814814814814,0.375,0.34631826777199115,-0.010416666666666666,0.0625,231481.78382846745,0.11226851851851852,0.10185185185185185,0.037037037037037035,1,False,True,graph,True
patching,17,27,27.0,0.6469907407407407,0.4375,0.5269063670354602,0.30439814814814814,0.28125,2777778.355459899,0.11226851851851852,0.4166666666666667,0.037037037037037035,1,False,True,graph,True
patching,18,27,27.0,0.4305555555555556,0.375,0.2915235454712064,0.027777777777777776,0.125,1388889.194215424,0.11226851851851852,0.1400462962962963,0.07407407407407407,2,False,True,graph,True
patching,19,27,27.0,0.8043981481481481,0.65625,0.5489550136538235,0.3020833333333333,0.5,3472222.9021734586,0.11226851851851852,0.41435185185185186,0.1111111111111111,3,False,True,graph,True
patching,20,27,27.0,0.5729166666666666,0.5625,0.46042283033349646,-0.5335648148148148,-0.5625,3009259.7381071607,0.11226851851851852,-0.4212962962962963,0.14814814814814814,4,False,True,graph,True
patching,21,27,27.0,0.4525462962962963,0.375,0.39512982918128553,0.01273148148148148,-0.03125,1157407.6919160355,0.11226851851851852,0.125,0.037037037037037035,1,False,True,graph,True
patching,22,27,27.0,0.8726851851851852,0.71875,0.538338311347416,-0.37962962962962965,-0.5,1620370.8717561127,0.11226851851851852,-0.2673611111111111,0.1111111111111111,3,False,True,graph,True
patching,23,27,27.0,1.0069444444444444,1.0,0.7712014020760741,-0.7986111111111112,-0.875,4398148.957712571,0.11226851851851852,-0.6863425925925926,0.14814814814814814,4,False,True,graph,True
patching,24,27,27.0,0.6655092592592593,0.59375,0.49507906070977825,0.11458333333333333,0.0625,1620370.9071435367,0.11226851851851852,0.22685185185185186,0.037037037037037035,1,False,True,graph,True
patching,25,27,27.0,0.8576388888888888,0.8125,0.5823380359731156,-0.6956018518518519,-0.8125,1388889.6026161963,0.11226851851851852,-0.5833333333333334,0.07407407407407407,2,False,True,graph,True
steering,10,80,80.0,1.29375,0.90625,1.386108393824372,-0.83984375,-0.5625,781250.5326602814,0.816796875,-0.023046875,0.075,6,False,True,graph,True
steering,11,80,80.0,0.9328125,0.65625,0.824762923838102,-0.3078125,-0.140625,1093750.4558711692,0.816796875,0.508984375,0.05,4,False,True,graph,True
steering,12,80,80.0,1.1294921875,0.78125,1.047186962746435,-0.0767578125,-0.125,937500.4759206309,0.816796875,0.7400390625,0.05,4,False,True,graph,True
steering,13,80,80.0,1.423828125,1.15625,1.0548823366683102,0.4171875,0.640625,1171875.7833029153,0.816796875,1.233984375,0.05,4,False,True,graph,True
steering,14,80,80.0,1.00625,0.875,0.730738961859669,-0.234375,-0.296875,1484375.553585703,0.816796875,0.582421875,0.075,6,False,True,graph,True
steering,15,80,80.0,0.57421875,0.421875,0.5418679006878762,-0.2703125,-0.125,390625.2476272467,0.816796875,0.546484375,0.0375,3,False,True,graph,True
steering,16,80,80.0,0.73203125,0.625,0.5865080291989816,-0.1296875,-0.0625,312500.3750790958,0.816796875,0.687109375,0.0375,3,False,True,graph,True
steering,17,80,80.0,0.6203125,0.5625,0.47144793210902236,-0.3953125,-0.421875,1171875.3036701395,0.816796875,0.421484375,0.025,2,False,True,graph,True
steering,18,80,80.0,0.9017578125,0.625,0.8314459539530142,0.5619140625,0.390625,1796875.544037575,0.816796875,1.3787109375,0.0375,3,False,True,graph,True
steering,19,80,80.0,0.96953125,0.6875,0.9807025376563,0.39765625,0.375,156250.5088864456,0.816796875,1.214453125,0.025,2,False,True,graph,True
steering,20,80,80.0,1.238671875,1.109375,0.8629259025439264,-1.086328125,-1.078125,2343750.633758932,0.816796875,-0.26953125,0.15,12,False,True,graph,True
steering,21,80,80.0,1.03125,0.859375,0.8909459087631371,-0.27734375,-0.171875,156250.36414654573,0.816796875,0.539453125,0.0625,5,False,True,graph,True
steering,22,80,80.0,1.7935546875,1.5,1.5800433136342635,-1.2505859375,-1.140625,1171875.7095702516,0.816796875,-0.4337890625,0.2125,17,False,True,graph,True
steering,23,80,80.0,2.1541015625,1.609375,1.948620190593586,-1.6228515625,-1.421875,625000.8031922644,0.816796875,-0.8060546875,0.2,16,False,True,graph,True
steering,24,80,80.0,1.24609375,0.9375,1.073004834104244,-0.9703125,-0.8125,1406250.5526599223,0.816796875,-0.153515625,0.1125,9,False,True,graph,True
steering,25,80,80.0,1.107421875,0.8125,1.0145286042858335,-0.987890625,-0.796875,234375.51546725055,0.816796875,-0.17109375,0.0625,5,False,True,graph,True
