cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,100,cue_label,emitted_mass_negligible,1,1.702,0.01,0.017,0.5875,-0.5319,0.4111,0.85487,20
0,100,cue_label,charge_plus_mass,1,2.128,0.01,0.0213,0.47,-0.755,0.4111,0.91095,22
0,10,difficulty,easy,7,6.511,0.7,0.6511,1.0752,0.0725,0.0608,0.51631,1
0,10,difficulty,medium,2,2.553,0.2,0.2553,0.7833,-0.2442,0.0608,0.77077,3
0,10,difficulty,hard,1,0.936,0.1,0.0936,1.0682,0.066,0.0608,0.62952,2
0,20,difficulty,easy,12,13.021,0.6,0.6511,0.9216,-0.0817,0.1108,0.76998,3
0,20,difficulty,medium,5,5.106,0.25,0.2553,0.9792,-0.0211,0.1108,0.61012,2
0,20,difficulty,hard,3,1.872,0.15,0.0936,1.6023,0.4714,0.1108,0.28544,1
0,30,difficulty,easy,17,19.532,0.5667,0.6511,0.8704,-0.1388,0.1548,0.88389,3
0,30,difficulty,medium,10,7.66,0.3333,0.2553,1.3056,0.2666,0.1548,0.20963,1
0,30,difficulty,hard,3,2.809,0.1,0.0936,1.0682,0.066,0.1548,0.54796,2
0,50,difficulty,easy,31,32.553,0.62,0.6511,0.9523,-0.0489,0.2353,0.74257,3
0,50,difficulty,medium,14,12.766,0.28,0.2553,1.0967,0.0923,0.2353,0.39271,1
0,50,difficulty,hard,5,4.681,0.1,0.0936,1.0682,0.066,0.2353,0.51452,2
0,75,difficulty,easy,47,48.83,0.6267,0.6511,0.9625,-0.0382,0.3277,0.73271,3
0,75,difficulty,medium,21,19.149,0.28,0.2553,1.0967,0.0923,0.3277,0.34325,1
0,75,difficulty,hard,7,7.021,0.0933,0.0936,0.997,-0.003,0.3277,0.57371,2
0,100,difficulty,easy,62,65.106,0.62,0.6511,0.9523,-0.0489,0.4111,0.8036,3
0,100,difficulty,medium,28,25.532,0.28,0.2553,1.0967,0.0923,0.4111,0.30242,1
0,100,difficulty,hard,10,9.362,0.1,0.0936,1.0682,0.066,0.4111,0.46658,2
