cluster_id,metadata_field,metadata_value,best_topk,best_lift,lift_top10,lift_top20,lift_top30,lift_top50,lift_top75,lift_top100,weighted_lift,enrichment_type,confidence,note
2,cue_type,emitted_mass4,20,3.9167,,3.9167,2.6111,1.5667,1.0444,0.7833,1.0674,narrow_decisive,medium,"peak lift=3.92 at early cutoffs, decays to 1.50; weighted=1.07"
2,cue_type,emitted_mass_negligible,10,5.875,5.875,2.9375,1.9583,3.525,2.35,1.7625,1.7813,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.78
2,difficulty,medium,10,1.9583,1.9583,0.9792,0.9139,0.8617,0.9922,0.94,1.0027,unstable,medium,max lift=1.96 but drops below 1.0 at top-50
2,evidence_completeness,single,10,1.2304,1.2304,1.1688,1.1894,1.0335,1.0827,1.0827,1.046,absent,medium,"max lift=1.23, weighted=1.05"
2,inference_steps,1,30,1.6786,0.6714,1.5107,1.6786,1.5443,1.2533,1.2086,,narrow_decisive,low,lift>1.5 at 3/6 cutoffs but weighted lift weak (N/A)
2,inference_steps,3,10,1.5667,1.5667,0.7833,0.6963,0.7311,0.7659,0.7311,,unstable,medium,max lift=1.57 but drops below 1.0 at top-50
2,inference_steps,5,10,2.7647,2.7647,2.7647,1.8431,1.1059,0.7373,0.8294,,narrow_decisive,medium,"peak lift=2.76 at early cutoffs, decays to 1.13; weighted=N/A"
2,level,1,20,1.9094,1.4688,1.9094,1.8604,1.5863,1.41,1.41,1.1646,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.16
2,physics_concept,beta_decay,10,1.6068,1.6068,1.5064,1.339,1.406,1.2051,1.2654,1.0885,narrow_decisive,low,lift>1.5 at 2/6 cutoffs but weighted lift weak (1.09)
3,correct_answer,beta,10,1.406,1.406,1.3056,1.1382,1.2051,1.1248,1.1248,1.0115,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.01
