cluster_id,top_n,metadata_field,metadata_value,observed_count,expected_count,lift,log_odds,pval_fisher
10,30,inference_steps,5,2,1.085,1.843,0.705,0.2966
11,10,level,3,7,1.702,4.112,2.5153,0.0003
11,10,level,AUX,1,1.191,0.839,-0.2007,0.7225
11,10,level,1,1,3.404,0.294,-1.559,0.9852
11,10,level,2,1,3.702,0.27,-1.691,0.9907
11,10,cue_label,composite_nuclear_object,3,0.17,17.625,3.6636,0.0004
11,10,cue_label,heavy_nuclear_fragment,2,0.128,15.667,3.3499,0.0058
11,10,cue_label,emitted_2neutrons,1,0.17,5.875,1.9728,0.1592
11,10,cue_label,mass_plus_daughter_a,1,0.17,5.875,1.9728,0.1592
11,10,relation_type,mass_plus_daughter_a,1,0.17,5.875,1.9728,0.1592
11,10,latent_state_target,alpha,10,5.021,1.992,,0.0009
11,10,correct_answer,alpha,10,5.021,1.992,,0.0009
11,10,difficulty,medium,8,2.553,3.133,2.52,0.0004
11,10,difficulty,easy,2,6.511,0.307,-2.0535,0.9995
11,10,inference_steps,3,7,1.915,3.656,2.3607,0.0006
11,10,inference_steps,2,2,4.426,0.452,-1.1768,0.9753
11,10,inference_steps,1,1,2.979,0.336,-1.3603,0.9721
11,20,level,3,9,3.404,2.644,1.4742,0.0026
11,20,level,1,7,6.809,1.028,0.0443,0.5496
11,20,level,2,3,7.404,0.405,-1.2451,0.9934
11,20,level,AUX,1,2.383,0.42,-0.9729,0.9253
11,20,cue_label,composite_nuclear_object,4,0.34,11.75,3.3277,0.0002
11,20,cue_label,heavy_nuclear_fragment,2,0.255,7.833,2.5168,0.0233
11,20,cue_label,emitted_mass4,2,0.511,3.917,1.587,0.0879
11,20,cue_label,emitted_2neutrons,1,0.34,2.938,1.2032,0.2957
11,20,cue_label,mass_plus_daughter_a,1,0.34,2.938,1.2032,0.2957
11,20,cue_label,emitted_2protons,1,0.34,2.938,1.2032,0.2957
11,20,cue_label,daughter_a_unchanged,1,0.511,1.958,0.7422,0.4103
11,20,cue_label,lepton_family,1,0.34,2.938,1.2032,0.2957
11,20,relation_type,mass_plus_daughter_a,1,0.34,2.938,1.2032,0.2957
11,20,latent_state_target,alpha,17,10.043,1.693,1.7879,0.0011
11,20,latent_state_target,beta,3,9.957,0.301,-1.7879,0.9998
11,20,correct_answer,alpha,17,10.043,1.693,1.7879,0.0011
11,20,correct_answer,beta,3,9.957,0.301,-1.7879,0.9998
11,20,difficulty,medium,11,5.106,2.154,1.3412,0.0039
11,20,difficulty,easy,9,13.021,0.691,-0.864,0.983
11,20,inference_steps,3,10,3.83,2.611,1.5315,0.0014
11,20,inference_steps,1,7,5.957,1.175,0.2495,0.3824
11,20,inference_steps,2,3,8.851,0.339,-1.5564,0.9991
11,30,level,3,15,5.106,2.938,1.7525,0.0
11,30,level,1,7,10.213,0.685,-0.5605,0.9342
11,30,level,2,6,11.106,0.54,-0.9045,0.9887
11,30,level,AUX,2,3.574,0.56,-0.6722,0.8954
11,30,cue_label,composite_nuclear_object,5,0.511,9.792,3.3719,0.0
11,30,cue_label,heavy_nuclear_fragment,3,0.383,7.833,2.7841,0.0041
11,30,cue_label,emitted_mass4,2,0.766,2.611,1.1221,0.1746
11,30,cue_label,baryon_number_4,2,0.383,5.222,2.0523,0.0504
11,30,cue_label,composition_2p2n,2,0.638,3.133,1.3499,0.1288
11,30,cue_label,lepton_family,2,0.511,3.917,1.6422,0.0868
11,30,cue_label,emitted_2neutrons,1,0.511,1.958,0.7575,0.4124
11,30,cue_label,daughter_a_unchanged,1,0.766,1.306,0.2963,0.5512
11,30,cue_label,emitted_2protons,1,0.511,1.958,0.7575,0.4124
11,30,cue_label,mass_plus_daughter_a,1,0.511,1.958,0.7575,0.4124
11,30,cue_label,not_nuclear_fragment,1,0.383,2.611,1.0986,0.3283
11,30,relation_type,composition_2p2n,2,0.638,3.133,1.3499,0.1288
11,30,relation_type,mass_plus_daughter_a,1,0.511,1.958,0.7575,0.4124
11,30,latent_state_target,alpha,24,15.064,1.593,1.4591,0.0005
11,30,latent_state_target,beta,6,14.936,0.402,-1.4591,0.9999
11,30,correct_answer,alpha,24,15.064,1.593,1.4591,0.0005
11,30,correct_answer,beta,6,14.936,0.402,-1.4591,0.9999
11,30,difficulty,medium,15,7.66,1.958,1.1602,0.0025
11,30,difficulty,easy,12,19.532,0.614,-1.1054,0.999
11,30,difficulty,hard,3,2.809,1.068,0.0782,0.548
11,30,inference_steps,3,14,5.745,2.437,1.4329,0.0004
11,30,inference_steps,1,7,8.936,0.783,-0.3531,0.8428
11,30,inference_steps,2,6,13.277,0.452,-1.2223,0.999
11,30,inference_steps,4,3,0.957,3.133,1.377,0.0634
