cluster_id,metadata_field,metadata_value,weighted_mass,weighted_fraction,global_fraction,weighted_lift,weighted_log_odds,weighted_rank_within_field
11,cue_label,full_beta_process_spec,1.3219,0.00861,0.01702,0.5061,-0.681,35
11,cue_label,charge_plus_mass,2.3751,0.01548,0.02128,0.7274,-0.3182,31
11,cue_label,heavy_nuclear_fragment,3.2376,0.0211,0.01277,1.6527,0.5024,2
11,cue_label,daughter_a_minus4,3.5002,0.02281,0.02128,1.072,0.0696,17
11,cue_label,helium4_equivalence,3.0094,0.01961,0.01702,1.1522,0.1416,11
11,cue_label,composition_2p2n,3.7938,0.02472,0.02128,1.162,0.1501,10
11,cue_label,n_to_p_plus_z_plus1,0.7938,0.00517,0.01702,0.3039,-1.191,36
11,cue_label,composite_nuclear_object,4.6751,0.03047,0.01702,1.7899,0.5821,1
11,cue_label,full_emitted_alpha_spec,1.6219,0.01057,0.01702,0.6209,-0.4765,32
11,cue_label,charge_plus_a_unchanged,1.6875,0.011,0.01277,0.8614,-0.1492,26
11,cue_label,daughter_n_minus1,2.9625,0.01931,0.01702,1.1342,0.1259,13
11,cue_label,z_plus1_with_antineutrino,2.35,0.01531,0.01702,0.8997,-0.1057,25
11,cue_label,antineutrino_emitted,2.6438,0.01723,0.02128,0.8097,-0.211,28
11,cue_label,neutron_to_proton,3.0249,0.01971,0.02128,0.9265,-0.0764,23
11,cue_label,mass_plus_daughter_a,2.9155,0.019,0.01702,1.1162,0.1099,15
11,cue_label,narrative_ejection,1.55,0.0101,0.01277,0.7912,-0.2342,29
11,cue_label,charge_plus_z_change,1.919,0.01251,0.01702,0.7347,-0.3083,30
11,cue_label,daughter_a_unchanged,5.0125,0.03266,0.02553,1.2794,0.2464,6
11,cue_label,not_nuclear_fragment,2.7562,0.01796,0.01277,1.407,0.3414,5
11,cue_label,baryon_number_4,2.7939,0.01821,0.01277,1.4262,0.355,4
11,cue_label,daughter_z_plus1,4.3563,0.02839,0.02553,1.1119,0.106,16
11,cue_label,daughter_z_minus2,3.875,0.02525,0.02553,0.989,-0.011,21
11,cue_label,emitted_mass_negligible,2.7125,0.01768,0.01702,1.0385,0.0378,20
11,cue_label,daughter_z_and_a_alpha,3.394,0.02212,0.02128,1.0395,0.0388,19
11,cue_label,electron_equivalence,2.225,0.0145,0.01702,0.8518,-0.1604,27
11,cue_label,lepton_family,3.8624,0.02517,0.01702,1.4787,0.3912,3
11,cue_label,charge_plus_daughter_z,2.3936,0.0156,0.01702,0.9164,-0.0873,24
11,cue_label,emitted_charge_plus2,4.5623,0.02973,0.02553,1.1645,0.1523,9
11,difficulty,hard,15.1938,0.09901,0.09362,1.0576,0.056,2
11,difficulty,easy,95.791,0.62423,0.65106,0.9588,-0.0421,3
11,difficulty,medium,42.4691,0.27675,0.25532,1.084,0.0806,1
11,inference_steps,1,45.453,0.2962,0.29787,0.9944,-0.0056,4
11,inference_steps,2,63.4881,0.41373,0.44255,0.9349,-0.0674,5
11,inference_steps,3,32.4972,0.21177,0.19149,1.1059,0.1007,2
11,inference_steps,4,6.0969,0.03973,0.03191,1.2449,0.2191,1
11,inference_steps,5,5.9187,0.03857,0.03617,1.0663,0.0642,3
11,inference_steps,2,0.0,0.0,0.0,,0.0,
11,inference_steps,3,0.0,0.0,0.0,,0.0,
11,inference_steps,4,0.0,0.0,0.0,,0.0,
11,inference_steps,5,0.0,0.0,0.0,,0.0,
11,inference_steps,1,0.0,0.0,0.0,,0.0,
11,cue_type,emitted_2neutrons,2.9658,0.01933,0.01702,1.1355,0.127,5
11,cue_type,emitted_charge_minus1,4.4188,0.0288,0.02553,1.1278,0.1203,7
11,cue_type,emitted_mass4,4.7125,0.03071,0.02553,1.2028,0.1846,3
11,cue_type,daughter_n_minus1,2.9625,0.01931,0.01702,1.1342,0.1259,6
11,cue_type,emitted_2protons,3.3,0.0215,0.01702,1.2634,0.2338,2
11,cue_type,antineutrino_emitted,2.6438,0.01723,0.02128,0.8097,-0.211,12
11,cue_type,daughter_a_unchanged,5.0125,0.03266,0.02553,1.2794,0.2464,1
11,cue_type,daughter_z_plus1,4.3563,0.02839,0.02553,1.1119,0.106,8
11,cue_type,daughter_z_minus2,3.875,0.02525,0.02553,0.989,-0.011,11
11,cue_type,emitted_mass_negligible,2.7125,0.01768,0.01702,1.0385,0.0378,10
11,cue_type,daughter_a_minus4,3.5002,0.02281,0.02128,1.072,0.0696,9
11,cue_type,emitted_charge_plus2,4.5623,0.02973,0.02553,1.1645,0.1523,4
11,physics_concept,beta_decay,71.2093,0.46404,0.49787,0.9321,-0.0704,2
11,physics_concept,alpha_decay,82.2446,0.53596,0.50213,1.0674,0.0652,1
11,keyword_free,False,10.8376,0.07062,0.08511,0.8298,-0.1865,2
11,keyword_free,True,142.6163,0.92938,0.91489,1.0158,0.0157,1
11,keyword_free,False,0.0,0.0,0.0,,0.0,
11,keyword_free,True,0.0,0.0,0.0,,0.0,
11,evidence_completeness,single,131.2853,0.85554,0.81277,1.0526,0.0513,1
11,evidence_completeness,combination,19.0626,0.12422,0.15319,0.8109,-0.2096,2
11,evidence_completeness,full,3.106,0.02024,0.03404,0.5946,-0.5199,3
