feature_id,hac_ward_abs_k2,hac_ward_abs_k3,hac_ward_abs_k4,hac_ward_abs_k5,hac_ward_abs_k6,hac_complete_abs_k2,hac_complete_abs_k3,hac_complete_abs_k4,hac_complete_abs_k5,hac_complete_abs_k6,hac_complete_signed_k2,hac_complete_signed_k3,hac_complete_signed_k4,hac_complete_signed_k5,hac_complete_signed_k6,hac_average_abs_k2,hac_average_abs_k3,hac_average_abs_k4,hac_average_abs_k5,hac_average_abs_k6,hac_average_signed_k2,hac_average_signed_k3,hac_average_signed_k4,hac_average_signed_k5,hac_average_signed_k6,spectral_abs_k2,spectral_abs_k3,spectral_abs_k4,spectral_abs_k5,spectral_abs_k6,spectral_signed_k2,spectral_signed_k3,spectral_signed_k4,spectral_signed_k5,spectral_signed_k6,kmeans_abs_k2,kmeans_abs_k3,kmeans_abs_k4,kmeans_abs_k5,kmeans_abs_k6,kmeans_group_k2,kmeans_group_k3,kmeans_group_k4,kmeans_group_k5,kmeans_group_k6,gmm_group_k2,gmm_group_k3,gmm_group_k4,gmm_group_k5,nmf_k2,nmf_k3,nmf_k4,nmf_k5,nmf_k6,cocluster_k2,cocluster_k3,cocluster_k4,cocluster_k5,cocluster_k6,louvain_abs_t30,louvain_abs_t50,bipartite_louvain,coimp_louvain,signed_laplacian_k2,signed_laplacian_k3,signed_laplacian_k4,signed_laplacian_k5,signed_laplacian_k6,residual_kmeans_k2,residual_kmeans_k3,residual_kmeans_k4,residual_kmeans_k5,residual_kmeans_k6,contrastive_k2,contrastive_k3,contrastive_k4,contrastive_k5,contrastive_k6,level_stability_L1,agglo_coimp_k14,agglo_coimp_k15,agglo_coimp_k16,agglo_coimp_k17
L14_F16839,0,0,0,0,0,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,2,0,0,1,2,1,1,1,0,1,1,1,0,1,2,2,2,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,4,4,1,4,1,1,1,1,0,1,2,3,0,3,0,2,2,0,5,2,9,10,10,12
L14_F22429,0,0,0,0,0,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,2,0,0,1,2,1,1,1,0,1,1,1,0,1,2,2,2,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,4,4,1,4,1,1,1,1,0,1,2,3,0,3,0,2,2,0,5,2,9,10,10,12
L14_F41157,0,0,0,0,0,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,2,0,0,1,2,1,1,1,0,1,1,1,0,1,2,2,2,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,4,4,1,4,1,1,1,1,0,1,2,3,0,3,0,2,2,0,5,2,9,10,10,12
L14_F89354,0,0,0,0,0,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,2,0,0,1,2,1,1,1,0,1,1,1,0,1,2,2,2,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,4,4,1,4,1,1,1,1,0,1,2,3,0,3,0,2,2,0,5,2,9,10,10,12
L15_F102860,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F103081,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,3,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F116670,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,3,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F131929,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F137225,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F145828,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F15507,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,0,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F155176,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F158538,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F162945,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F30837,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F47152,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F5513,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F64857,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F73021,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F7839,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F89707,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L15_F90974,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,1,2,0,0,4,0,0,1,0,4,0,0,0,2,1,2,3,3,5,0,0,0,0,0,2,2,1,5,0,0,3,3,2,0,1,1,2,5,1,0,3,1,1,0,3,4,3,4
L16_F108491,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F14097,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F150340,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F33974,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F36058,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F38521,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F46637,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F53285,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F78897,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F82007,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F82587,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F95099,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L16_F98578,1,1,1,2,2,0,0,1,1,1,1,1,1,2,3,1,2,2,2,3,1,2,3,4,4,0,1,1,1,4,1,1,2,2,2,1,0,2,4,3,1,1,3,4,1,1,2,1,1,1,1,1,4,4,0,0,0,0,0,0,0,1,6,1,1,1,1,4,1,0,2,3,0,1,0,3,1,1,3,8,9,8,10
L17_F106541,0,0,0,1,1,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,0,0,5,1,2,1,1,1,0,1,1,1,0,1,1,3,1,5,1,2,1,3,0,0,3,4,4,0,0,0,0,0,4,4,1,4,1,1,1,4,5,1,2,3,0,2,0,2,2,0,0,1,9,10,9,11
L17_F107550,0,0,0,1,1,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,0,0,5,1,2,1,1,1,0,1,1,1,0,1,1,3,1,5,1,2,1,3,0,0,3,4,4,0,0,0,0,0,4,4,1,4,1,1,1,4,5,1,2,3,0,2,0,2,2,0,0,1,9,10,9,11
L17_F111674,0,0,0,1,1,1,1,2,2,2,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,0,0,5,1,2,1,1,1,0,1,1,1,0,1,1,3,1,5,1,2,1,3,0,0,3,4,4,0,0,0,0,0,4,4,1,4,1,1,1,4,5,1,2,3,0,2,0,2,2,0,0,1,9,10,9,11
