experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,9,19,"[25077, 81443, 126231]",6.9375,2.0,-4.9375,4.9375,0.711711710685821,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,19,"[25077, 81443, 126231]",6.75,1.875,-4.875,4.875,0.7222222211522634,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,19,"[25077, 81443, 126231]",8.6875,2.8125,-5.875,5.875,0.6762589920273278,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,19,"[25077, 81443, 126231]",0.25,-2.390625,-2.640625,2.640625,10.562499577500017,True,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,19,"[25077, 81443, 126231]",7.96875,1.640625,-6.328125,6.328125,0.7941176460622837,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,19,19,"[25077, 81443, 126231]",8.5,4.125,-4.375,4.375,0.5147058817474048,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,2,20,"[101109, 73876, 92769]",6.90625,5.9375,-0.96875,0.96875,0.14027149300956165,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,20,"[101109, 73876, 92769]",10.375,7.75,-2.625,2.625,0.25301204794890403,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,20,"[101109, 73876, 92769]",10.6875,9.0,-1.6875,1.6875,0.1578947366943675,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,20,"[101109, 73876, 92769]",4.8125,4.9375,0.125,0.125,0.025974025920053972,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,20,"[101109, 73876, 92769]",2.75,0.875,-1.875,1.875,0.681818179338843,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,20,"[101109, 73876, 92769]",9.625,5.21875,-4.40625,4.40625,0.4577922073165795,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,9,20,"[101109, 73876, 92769]",6.9375,2.859375,-4.078125,4.078125,0.5878378369905041,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,20,"[101109, 73876, 92769]",6.75,4.375,-2.375,2.375,0.3518518513305898,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,20,"[101109, 73876, 92769]",8.6875,7.5,-1.1875,1.1875,0.13669064732467262,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,20,"[101109, 73876, 92769]",0.25,-1.5,-1.75,1.75,6.9999997200000115,True,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,20,"[101109, 73876, 92769]",7.96875,5.25,-2.71875,2.71875,0.3411764701600923,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,19,20,"[101109, 73876, 92769]",8.5,6.65625,-1.84375,1.84375,0.21691176445069202,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
