experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,25,20,20.0,1.15,0.4375,1.7715020667129973,-0.903125,-0.375,0.3365649391770025,3.71875,2.815625,0.15,3
patching,10,20,20.0,0.4765625,0.3125,0.40894538525945,0.2015625,0.234375,0.17482960685385704,3.71875,3.9203125,0.0,0
patching,11,20,20.0,0.575,0.4375,0.5073878538263665,-0.3,-0.296875,0.31351286928451316,3.71875,3.41875,0.05,1
patching,12,20,20.0,0.4453125,0.234375,0.7001582146153975,0.1890625,-0.0625,0.16412862571967962,3.71875,3.9078125,0.0,0
patching,13,20,20.0,0.30625,0.25,0.21160803511756304,-0.19375,-0.1875,0.17648491865299862,3.71875,3.525,0.05,1
patching,14,20,20.0,0.2203125,0.1875,0.16268808699875903,-0.0578125,-0.03125,0.06073209840801578,3.71875,3.6609375,0.0,0
patching,15,20,20.0,0.553125,0.3125,0.580496115518079,-0.303125,-0.140625,0.3680516013881639,3.71875,3.415625,0.05,1
patching,16,20,20.0,0.221875,0.125,0.22094760780496547,-0.025,-0.03125,0.08080869041599303,3.71875,3.69375,0.0,0
patching,17,20,20.0,0.253125,0.1875,0.2756011670684173,0.08125,0.03125,0.07466093822326833,3.71875,3.8,0.0,0
patching,18,20,20.0,1.0578125,0.6875,1.192047861640123,0.7609375,0.6875,0.34124716067415933,3.71875,4.4796875,0.05,1
patching,19,20,20.0,0.303125,0.234375,0.2891080600653272,0.003125,-0.09375,0.11501966832252794,3.71875,3.721875,0.0,0
patching,20,20,20.0,0.4046875,0.34375,0.38879175080423334,0.1265625,0.015625,0.12776973610720038,3.71875,3.8453125,0.0,0
patching,21,20,20.0,0.296875,0.1875,0.269491022455685,0.096875,0.046875,0.10614847527013346,3.71875,3.815625,0.0,0
patching,22,20,20.0,0.8015625,0.59375,0.8057841754064956,-0.2796875,-0.1875,0.29413113297999427,3.71875,3.4390625,0.05,1
patching,23,20,20.0,0.365625,0.25,0.2992417775768758,0.209375,0.15625,0.15359289406210092,3.71875,3.928125,0.0,0
patching,24,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,25,20,20.0,1.178125,0.5625,1.7227704174335625,-0.928125,-0.40625,0.34596192089815114,3.71875,2.790625,0.15,3
steering,10,20,20.0,0.4296875,0.28125,0.46082946436861344,-0.2296875,-0.15625,0.12907760269991106,3.71875,3.4890625,0.0,0
steering,11,20,20.0,0.3671875,0.25,0.4607179171441367,0.0203125,-0.1875,0.1415344194104216,3.71875,3.7390625,0.0,0
steering,12,20,20.0,0.5171875,0.375,0.4925926434037828,0.2640625,0.15625,0.16759082555736582,3.71875,3.9828125,0.0,0
steering,13,20,20.0,0.309375,0.3125,0.24812205851365296,-0.084375,-0.09375,0.15956621009323727,3.71875,3.634375,0.05,1
steering,14,20,20.0,0.25625,0.21875,0.16018081887929686,-0.00625,-0.0625,0.08854432899347506,3.71875,3.7125,0.0,0
steering,15,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.4190304871336431,3.71875,3.4703125,0.05,1
steering,16,20,20.0,0.2265625,0.1875,0.1989060852678443,0.0453125,0.125,0.06544721208525994,3.71875,3.7640625,0.0,0
steering,17,20,20.0,0.278125,0.25,0.18331401911818734,0.03125,0.125,0.09642450156618447,3.71875,3.75,0.0,0
steering,18,20,20.0,0.559375,0.375,0.8231151215288621,0.41875,0.28125,0.17250309464980837,3.71875,4.1375,0.0,0
steering,19,20,20.0,0.4015625,0.328125,0.3304507176708965,-0.2234375,-0.3125,0.1735766152011988,3.71875,3.4953125,0.05,1
steering,20,20,20.0,0.8875,0.6875,0.8435611387071135,0.365625,0.09375,0.33105024979915815,3.71875,4.084375,0.0,0
steering,21,20,20.0,0.2109375,0.15625,0.15136271083150948,-0.0109375,-0.046875,0.06930625318154662,3.71875,3.7078125,0.0,0
steering,22,20,20.0,3.3078125,3.4375,2.3358809786772214,-2.9484375,-3.4375,1.1463088463905957,3.71875,0.7703125,0.6,12
steering,23,20,20.0,0.475,0.40625,0.4353329790305106,0.259375,0.1875,0.19605328457599294,3.71875,3.978125,0.0,0
steering,24,20,20.0,3.3703125,3.0,2.219485955592504,-2.9953125,-3.0,1.1271502978606898,3.71875,0.7234375,0.55,11
steering,25,20,20.0,0.9921875,0.4375,1.6186577587517088,-0.4734375,-0.0625,0.29641592141857914,3.71875,3.2453125,0.15,3
