experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
steering,19,82271,20,20.0,0.773828125,0.5234375,0.6473465726052263,-0.293359375,-0.3125,0.18116538911903618,4.432421875,4.1390625,0.0,0
steering,21,10625,20,20.0,0.338671875,0.25,0.25299240912899235,-0.135546875,-0.15625,0.11511322220280344,4.432421875,4.296875,0.0,0
steering,22,37362,20,20.0,0.413671875,0.3359375,0.3840856831976659,-0.052734375,0.0,0.13934063372983546,4.432421875,4.3796875,0.0,0
steering,23,51949,20,20.0,2.713671875,2.9375,1.5811759586985774,-2.155859375,-2.9375,0.8167162040792775,4.432421875,2.2765625,0.25,5
steering,23,98762,20,20.0,2.713671875,2.9375,1.5811759586985774,-2.155859375,-2.9375,0.8167162040792775,4.432421875,2.2765625,0.25,5
steering,24,95435,20,20.0,0.7703125,0.6875,0.3997487132150712,-0.515625,-0.65625,0.26896134102066627,4.432421875,3.916796875,0.0,0
steering,24,99099,20,20.0,0.7703125,0.6875,0.3997487132150712,-0.515625,-0.65625,0.26896134102066627,4.432421875,3.916796875,0.0,0
steering,25,15948,20,20.0,0.587109375,0.59375,0.46569229550566843,-0.429296875,-0.3515625,0.15997885439416085,4.432421875,4.003125,0.0,0
steering,25,70833,20,20.0,0.587109375,0.59375,0.46569229550566843,-0.429296875,-0.3515625,0.15997885439416085,4.432421875,4.003125,0.0,0
steering,25,152169,20,20.0,0.587109375,0.59375,0.46569229550566843,-0.429296875,-0.3515625,0.15997885439416085,4.432421875,4.003125,0.0,0
steering,25,160856,20,20.0,0.587109375,0.59375,0.46569229550566843,-0.429296875,-0.3515625,0.15997885439416085,4.432421875,4.003125,0.0,0
steering,25,162883,20,20.0,0.587109375,0.59375,0.46569229550566843,-0.429296875,-0.3515625,0.15997885439416085,4.432421875,4.003125,0.0,0
