experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
patching,21,98305,20,20.0,0.296875,0.1875,0.269491022455685,0.096875,0.046875,0.10614847527013346,3.71875,3.815625,0.0,0
patching,21,116961,20,20.0,0.296875,0.1875,0.269491022455685,0.096875,0.046875,0.10614847527013346,3.71875,3.815625,0.0,0
patching,21,121105,20,20.0,0.296875,0.1875,0.269491022455685,0.096875,0.046875,0.10614847527013346,3.71875,3.815625,0.0,0
patching,22,14991,10,10.0,0.559375,0.5,0.3887664117650426,0.078125,0.125,0.16016031423228855,3.4875,3.565625,0.0,0
patching,22,34051,18,18.0,0.8125,0.59375,0.8482654230493993,-0.2881944444444444,-0.1875,0.30681237003154915,3.704861111111111,3.4166666666666665,0.05555555555555555,1
patching,22,57015,20,20.0,0.8015625,0.59375,0.8057841754064956,-0.2796875,-0.1875,0.29413113297999427,3.71875,3.4390625,0.05,1
patching,22,66669,15,15.0,0.9645833333333333,0.75,0.861816067687189,-0.39375,-0.5,0.3557042558810996,3.8916666666666666,3.497916666666667,0.06666666666666667,1
patching,22,74868,10,10.0,0.56875,0.59375,0.37580931187091265,-0.38125,-0.53125,0.34765645759736247,3.528125,3.146875,0.1,1
patching,22,80156,10,10.0,0.990625,0.6875,1.0600513041174522,-0.484375,-0.3125,0.22373846711357387,4.028125,3.54375,0.0,0
patching,22,120804,17,17.0,0.8143382352941176,0.5625,0.868943224650173,-0.20036764705882354,0.0,0.3151030441284065,3.6470588235294117,3.4466911764705883,0.058823529411764705,1
patching,23,91721,20,20.0,0.365625,0.25,0.2992417775768758,0.209375,0.15625,0.15359289406210092,3.71875,3.928125,0.0,0
patching,23,119593,20,20.0,0.365625,0.25,0.2992417775768758,0.209375,0.15625,0.15359289406210092,3.71875,3.928125,0.0,0
patching,23,130333,20,20.0,0.365625,0.25,0.2992417775768758,0.209375,0.15625,0.15359289406210092,3.71875,3.928125,0.0,0
patching,24,30233,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,24,73324,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,24,122537,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,24,149159,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,24,161672,20,20.0,2.6515625,2.15625,2.062706204803662,-2.2890625,-1.8125,1.0094671802103055,3.71875,1.4296875,0.4,8
patching,25,37637,20,20.0,1.178125,0.5625,1.7227704174335625,-0.928125,-0.40625,0.34596192089815114,3.71875,2.790625,0.15,3
